Route	Call	Port	Time
41	6	IMMINGHAM	17
42	1	ROTTERDAM	3
42	2	BELFAST	6
42	3	ROTTERDAM	10
43	1	ROTTERDAM	3
43	2	DUNKERQUE	6
43	3	LIVERPOOL	9
43	4	DUBLIN	11
43	5	GREENOCK	12
43	6	BRISTOL	15
43	7	ROTTERDAM	17
44	1	BREMERHAVEN	3
44	2	HAMBURG	5
44	3	GDYNIA	10
44	4	GDANSK	11
44	5	NORRKOPING	13
44	6	GAEVLE	14
44	7	BREMERHAVEN	24
45	1	BREMERHAVEN	3
45	2	LONDON GATEWAY PORT(ESS)	6
45	3	FELIXSTOWE	7
45	4	KOTKA	14
45	5	WILHELMSHAVEN	21
45	6	BREMERHAVEN	22
45	7	GDANSK	27
45	8	KLAIPEDA	28
45	9	RIGA	31
45	10	GDANSK	35
45	11	BREMERHAVEN	45
46	1	ROTTERDAM	3
46	2	ANTWERP	7
46	3	KLAIPEDA	10
46	4	RIGA	12
46	5	TALLINN	14
46	6	ROTTERDAM	24
47	1	ROUEN	3
47	2	LE HAVRE	4
47	3	ROUEN	17
48	1	ROTTERDAM	3
48	2	MOSS	7
48	3	LARVIK	8
48	4	KRISTIANSAND	9
48	5	ROTTERDAM	17
49	1	HAMBURG	3
49	2	BREMERHAVEN	5
49	3	MOSS	7
49	4	OSLO	8
49	5	BREVIK	9
49	6	HAMBURG	17
50	1	SETUBAL	3
50	2	LEIXOES	5
50	3	FERROL	5
50	4	TILBURY	8
50	5	DUNKERQUE	9
50	6	VLISSINGEN	10
50	7	ANTWERP	10
50	8	ROTTERDAM	11
50	9	SETUBAL	17
51	1	DUBLIN	3
51	2	LIVERPOOL	4
51	3	SETUBAL	13
51	4	LEIXOES	15
51	5	DUBLIN	24
52	1	BREMERHAVEN	3
52	2	HAMBURG	4
52	3	GDYNIA	9
52	4	KLAIPEDA	10
52	5	RIGA	11
52	6	GDYNIA	14
52	7	BREMERHAVEN	17
53	1	ROTTERDAM	3
53	2	ROTTERDAM	24
54	1	ROTTERDAM	3
54	2	LEIXOES	9
54	3	LISBOA	11
54	4	VIGO	14
54	5	ROTTERDAM	17
55	1	ROTTERDAM	3
55	2	OSLO	7
55	3	MOSS	8
55	4	LARVIK	8
55	5	BREVIK	9
55	6	ROTTERDAM	17
56	1	ROTTERDAM	3
56	2	HELSINGBORG	8
56	3	ROTTERDAM	17
57	1	ROTTERDAM	3
57	2	OSLO	7
57	3	BREVIK	8
57	4	ROTTERDAM	17
58	1	ROTTERDAM	3
58	2	OSLO	6
58	3	BREVIK	7
58	4	FREDRIKSTAD	8
58	5	ROTTERDAM	17
59	1	ROTTERDAM	3
59	2	MOSS	7
59	3	LARVIK	8
59	4	KRISTIANSAND	9
59	5	ROTTERDAM	17
60	1	HAMBURG	3
60	2	BREMERHAVEN	5
60	3	MOSS	7
60	4	OSLO	8
60	5	BREVIK	9
60	6	HAMBURG	17
61	1	SETUBAL	3
61	2	LEIXOES	5
61	3	FERROL	5
61	4	TILBURY	8
61	5	DUNKERQUE	9
61	6	VLISSINGEN	10
61	7	ANTWERP	10
61	8	ROTTERDAM	11
61	9	SETUBAL	17
62	1	DUBLIN	3
62	2	LIVERPOOL	4
62	3	SETUBAL	13
62	4	LEIXOES	15
62	5	DUBLIN	24
63	1	BREMERHAVEN	3
63	2	HAMBURG	4
63	3	GDYNIA	9
63	4	KLAIPEDA	10
63	5	RIGA	11
63	6	GDYNIA	14
63	7	BREMERHAVEN	17
64	1	HAMBURG	3
64	2	SZCZECIN	9
64	3	HAMBURG	17
65	1	BREMERHAVEN	3
65	2	HAMBURG	5
65	3	SZCZECIN	6
65	4	HELSINGBORG	7
65	5	SZCZECIN	9
65	6	BREMERHAVEN	17
66	1	VIGO	3
66	2	FERROL	4
66	3	LEIXOES	6
66	4	SETUBAL	7
66	5	ALGECIRAS	9
66	6	CARTAGENA(ES)	10
66	7	VALENCIA	11
66	8	ALGECIRAS	14
66	9	VIGO	24
67	1	ROTTERDAM	3
67	2	LISBOA	10
67	3	LEIXOES	12
67	4	ROTTERDAM	15
67	5	FELIXSTOWE	17
67	6	ROTTERDAM	24
68	1	LE HAVRE	3
68	2	PORTSMOUTH	4
68	3	LE HAVRE	10
69	1	ROTTERDAM	3
69	2	DUBLIN	8
69	3	ROTTERDAM	10
70	1	ROTTERDAM	3
70	2	STAVANGER	7
70	3	HAUGESUND	7
70	4	BERGEN	8
70	5	FLORO	8
70	6	ALESUND	9
70	7	MALOY	9
70	8	ROTTERDAM	17
71	1	ROTTERDAM	3
71	2	GOTHENBURG	8
71	3	ROTTERDAM	10
72	1	ROTTERDAM	3
72	2	UMEA	9
72	3	SUNDSVALL	10
72	4	UMEA	20
72	5	SUNDSVALL	20
72	6	ROTTERDAM	31
73	1	BILBAO	3
73	2	ROTTERDAM	6
73	3	OSLO	9
73	4	AARHUS	10
73	5	HELSINGBORG	12
73	6	GDYNIA	13
73	7	TILBURY	17
73	8	FERROL	20
73	9	BILBAO	24
74	1	BILBAO	3
74	2	TILBURY	6
74	3	ROTTERDAM	7
74	4	BILBAO	10
75	1	ROTTERDAM	3
75	2	TEESPORT	7
75	3	GRANGEMOUTH	8
75	4	ROTTERDAM	10
76	1	ROTTERDAM	3
76	2	DUNKERQUE	7
76	3	BILBAO	10
76	4	GIJON	12
76	5	VIGO	14
76	6	ROTTERDAM	17
77	1	LEIXOES	3
77	2	VIGO	4
77	3	LISBOA	6
77	4	TANGER MED	7
77	5	ALGECIRAS	8
