TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
61	1	61	3	CHARLESTON(SC)	9	65	1	62	4	PORT EVERGLADES(FL)	66
62	1	62	4	PORT EVERGLADES(FL)	9	66	4	63	5	CARTAGENA(CO)	70
63	1	63	5	CARTAGENA(CO)	9	70	2	64	6	MANZANILLO(PA)	72
64	1	64	6	MANZANILLO(PA)	9	72	6	65	7	PORT EVERGLADES(FL)	78
65	1	65	7	PORT EVERGLADES(FL)	9	78	3	66	8	NEW YORK(NY)	81
66	1	66	8	NEW YORK(NY)	9	81	2	81	2	BALTIMORE(MD)	83
67	1	67	2	BALTIMORE(MD)	10	69	3	68	3	CHARLESTON(SC)	72
68	1	68	3	CHARLESTON(SC)	10	72	1	69	4	PORT EVERGLADES(FL)	73
69	1	69	4	PORT EVERGLADES(FL)	10	73	4	70	5	CARTAGENA(CO)	77
70	1	70	5	CARTAGENA(CO)	10	77	2	71	6	MANZANILLO(PA)	79
71	1	71	6	MANZANILLO(PA)	10	79	6	72	7	PORT EVERGLADES(FL)	85
72	1	72	7	PORT EVERGLADES(FL)	10	85	3	73	8	NEW YORK(NY)	88
73	1	73	8	NEW YORK(NY)	10	88	2	88	2	BALTIMORE(MD)	90
74	1	74	2	BALTIMORE(MD)	11	76	3	75	3	CHARLESTON(SC)	79
75	1	75	3	CHARLESTON(SC)	11	79	1	76	4	PORT EVERGLADES(FL)	80
76	1	76	4	PORT EVERGLADES(FL)	11	80	4	77	5	CARTAGENA(CO)	84
77	1	77	5	CARTAGENA(CO)	11	84	2	78	6	MANZANILLO(PA)	86
78	1	78	6	MANZANILLO(PA)	11	86	6	79	7	PORT EVERGLADES(FL)	92
79	1	79	7	PORT EVERGLADES(FL)	11	92	3	80	8	NEW YORK(NY)	95
80	1	80	8	NEW YORK(NY)	11	95	2	95	2	BALTIMORE(MD)	97
81	1	81	2	BALTIMORE(MD)	12	83	3	82	3	CHARLESTON(SC)	86
82	1	82	3	CHARLESTON(SC)	12	86	1	83	4	PORT EVERGLADES(FL)	87
83	1	83	4	PORT EVERGLADES(FL)	12	87	4	84	5	CARTAGENA(CO)	91
84	1	84	5	CARTAGENA(CO)	12	91	2	85	6	MANZANILLO(PA)	93
85	1	85	6	MANZANILLO(PA)	12	93	6	86	7	PORT EVERGLADES(FL)	99
86	1	86	7	PORT EVERGLADES(FL)	12	99	3	87	8	NEW YORK(NY)	102
87	1	87	8	NEW YORK(NY)	12	102	2	102	2	BALTIMORE(MD)	104
88	1	88	2	BALTIMORE(MD)	13	90	3	89	3	CHARLESTON(SC)	93
89	1	89	3	CHARLESTON(SC)	13	93	1	90	4	PORT EVERGLADES(FL)	94
90	1	90	4	PORT EVERGLADES(FL)	13	94	4	91	5	CARTAGENA(CO)	98
91	1	91	5	CARTAGENA(CO)	13	98	2	92	6	MANZANILLO(PA)	100
92	1	92	6	MANZANILLO(PA)	13	100	6	93	7	PORT EVERGLADES(FL)	106
