TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
72	1	72	6	GIJON	10	82	1	73	7	BILBAO	83
73	1	73	7	BILBAO	10	83	12	74	8	ALGECIRAS	95
74	1	74	8	ALGECIRAS	10	95	5	96	2	SANTA CRUZ DE TENERIFE	100
75	1	75	2	SANTA CRUZ DE TENERIFE	11	79	1	76	3	LAS PALMAS	80
76	1	76	3	LAS PALMAS	11	80	1	77	4	AGADIR	81
77	1	77	4	AGADIR	11	81	4	78	5	ALGECIRAS	85
78	1	78	5	ALGECIRAS	11	85	4	79	6	GIJON	89
79	1	79	6	GIJON	11	89	1	80	7	BILBAO	90
80	1	80	7	BILBAO	11	90	12	81	8	ALGECIRAS	102
81	1	81	8	ALGECIRAS	11	102	5	103	2	SANTA CRUZ DE TENERIFE	107
82	1	82	2	SANTA CRUZ DE TENERIFE	12	86	1	83	3	LAS PALMAS	87
83	1	83	3	LAS PALMAS	12	87	1	84	4	AGADIR	88
84	1	84	4	AGADIR	12	88	4	85	5	ALGECIRAS	92
85	1	85	5	ALGECIRAS	12	92	4	86	6	GIJON	96
86	1	86	6	GIJON	12	96	1	87	7	BILBAO	97
87	1	87	7	BILBAO	12	97	12	88	8	ALGECIRAS	109
88	1	88	8	ALGECIRAS	12	109	5	110	2	SANTA CRUZ DE TENERIFE	114
89	1	89	2	SANTA CRUZ DE TENERIFE	13	93	1	90	3	LAS PALMAS	94
90	1	90	3	LAS PALMAS	13	94	1	91	4	AGADIR	95
91	1	91	4	AGADIR	13	95	4	92	5	ALGECIRAS	99
92	1	92	5	ALGECIRAS	13	99	4	93	6	GIJON	103
93	1	93	6	GIJON	13	103	1	94	7	BILBAO	104
94	1	94	7	BILBAO	13	104	12	95	8	ALGECIRAS	116
95	1	95	8	ALGECIRAS	13	116	5	117	2	SANTA CRUZ DE TENERIFE	121
96	1	96	2	SANTA CRUZ DE TENERIFE	14	100	1	97	3	LAS PALMAS	101
97	1	97	3	LAS PALMAS	14	101	1	98	4	AGADIR	102
98	1	98	4	AGADIR	14	102	4	99	5	ALGECIRAS	106
99	1	99	5	ALGECIRAS	14	106	4	100	6	GIJON	110
100	1	100	6	GIJON	14	110	1	101	7	BILBAO	111
101	1	101	7	BILBAO	14	111	12	102	8	ALGECIRAS	123
102	1	102	8	ALGECIRAS	14	123	5	124	2	SANTA CRUZ DE TENERIFE	128
103	1	103	2	SANTA CRUZ DE TENERIFE	15	107	1	104	3	LAS PALMAS	108
104	1	104	3	LAS PALMAS	15	108	1	105	4	AGADIR	109
105	1	105	4	AGADIR	15	109	4	106	5	ALGECIRAS	113
106	1	106	5	ALGECIRAS	15	113	4	107	6	GIJON	117
107	1	107	6	GIJON	15	117	1	108	7	BILBAO	118
108	1	108	7	BILBAO	15	118	12	109	8	ALGECIRAS	130
109	1	109	8	ALGECIRAS	15	130	5	131	2	SANTA CRUZ DE TENERIFE	135
110	1	110	2	SANTA CRUZ DE TENERIFE	16	114	1	111	3	LAS PALMAS	115
111	1	111	3	LAS PALMAS	16	115	1	112	4	AGADIR	116
112	1	112	4	AGADIR	16	116	4	113	5	ALGECIRAS	120
113	1	113	5	ALGECIRAS	16	120	4	114	6	GIJON	124
114	1	114	6	GIJON	16	124	1	115	7	BILBAO	125
115	1	115	7	BILBAO	16	125	12	116	8	ALGECIRAS	137
116	1	116	8	ALGECIRAS	16	137	5	138	2	SANTA CRUZ DE TENERIFE	142
117	1	117	2	SANTA CRUZ DE TENERIFE	17	121	1	118	3	LAS PALMAS	122
118	1	118	3	LAS PALMAS	17	122	1	119	4	AGADIR	123
119	1	119	4	AGADIR	17	123	4	120	5	ALGECIRAS	127
120	1	120	5	ALGECIRAS	17	127	4	121	6	GIJON	131
121	1	121	6	GIJON	17	131	1	122	7	BILBAO	132
122	1	122	7	BILBAO	17	132	12	123	8	ALGECIRAS	144
123	1	123	8	ALGECIRAS	17	144	5	145	2	SANTA CRUZ DE TENERIFE	149
124	1	124	2	SANTA CRUZ DE TENERIFE	18	128	1	125	3	LAS PALMAS	129
125	1	125	3	LAS PALMAS	18	129	1	126	4	AGADIR	130
126	1	126	4	AGADIR	18	130	4	127	5	ALGECIRAS	134
127	1	127	5	ALGECIRAS	18	134	4	128	6	GIJON	138
128	1	128	6	GIJON	18	138	1	129	7	BILBAO	139
129	1	129	7	BILBAO	18	139	12	130	8	ALGECIRAS	151
130	1	130	8	ALGECIRAS	18	151	5	152	2	SANTA CRUZ DE TENERIFE	156
131	1	131	2	SANTA CRUZ DE TENERIFE	19	135	1	132	3	LAS PALMAS	136
132	1	132	3	LAS PALMAS	19	136	1	133	4	AGADIR	137
133	1	133	4	AGADIR	19	137	4	134	5	ALGECIRAS	141
134	1	134	5	ALGECIRAS	19	141	4	135	6	GIJON	145
135	1	135	6	GIJON	19	145	1	136	7	BILBAO	146
136	1	136	7	BILBAO	19	146	12	137	8	ALGECIRAS	158
137	1	138	2	SANTA CRUZ DE TENERIFE	20	142	1	139	3	LAS PALMAS	143
138	1	139	3	LAS PALMAS	20	143	1	140	4	AGADIR	144
139	1	140	4	AGADIR	20	144	4	141	5	ALGECIRAS	148
140	1	141	5	ALGECIRAS	20	148	4	142	6	GIJON	152
141	1	142	6	GIJON	20	152	1	143	7	BILBAO	153
142	1	143	7	BILBAO	20	153	12	144	8	ALGECIRAS	165
