TravelArc_ID	Route	origin_node_ID	origin_Call	origin_Port	Round_Trip	OriginTime	TravelTime	Destination_node_ID	Destination_Call	Destination_Port	DestinationTime
1225	13	1253	8	DAMMAM	10	86	1	1254	9	JEBEL ALI	87
1226	13	1254	9	JEBEL ALI	10	87	2	1271	2	KHALIFA PORT(ABU) DHABI	89
1227	13	1255	2	KHALIFA PORT(ABU) DHABI	11	75	5	1256	3	NHAVA SHEVA	80
1228	13	1256	3	NHAVA SHEVA	11	80	2	1257	4	HAZIRA(GJ)	82
1229	13	1257	4	HAZIRA(GJ)	11	82	2	1258	5	MUNDRA	84
1230	13	1258	5	MUNDRA	11	84	3	1259	6	JEBEL ALI	87
1231	13	1259	6	JEBEL ALI	11	87	3	1260	7	HAMAD	90
1232	13	1260	7	HAMAD	11	90	3	1261	8	DAMMAM	93
1233	13	1261	8	DAMMAM	11	93	1	1262	9	JEBEL ALI	94
1234	13	1262	9	JEBEL ALI	11	94	2	1279	2	KHALIFA PORT(ABU) DHABI	96
1235	13	1263	2	KHALIFA PORT(ABU) DHABI	12	82	5	1264	3	NHAVA SHEVA	87
1236	13	1264	3	NHAVA SHEVA	12	87	2	1265	4	HAZIRA(GJ)	89
1237	13	1265	4	HAZIRA(GJ)	12	89	2	1266	5	MUNDRA	91
1238	13	1266	5	MUNDRA	12	91	3	1267	6	JEBEL ALI	94
1239	13	1267	6	JEBEL ALI	12	94	3	1268	7	HAMAD	97
1240	13	1268	7	HAMAD	12	97	3	1269	8	DAMMAM	100
1241	13	1269	8	DAMMAM	12	100	1	1270	9	JEBEL ALI	101
1242	13	1270	9	JEBEL ALI	12	101	2	1287	2	KHALIFA PORT(ABU) DHABI	103
1243	13	1271	2	KHALIFA PORT(ABU) DHABI	13	89	5	1272	3	NHAVA SHEVA	94
1244	13	1272	3	NHAVA SHEVA	13	94	2	1273	4	HAZIRA(GJ)	96
1245	13	1273	4	HAZIRA(GJ)	13	96	2	1274	5	MUNDRA	98
1246	13	1274	5	MUNDRA	13	98	3	1275	6	JEBEL ALI	101
1247	13	1275	6	JEBEL ALI	13	101	3	1276	7	HAMAD	104
1248	13	1276	7	HAMAD	13	104	3	1277	8	DAMMAM	107
1249	13	1277	8	DAMMAM	13	107	1	1278	9	JEBEL ALI	108
1250	13	1278	9	JEBEL ALI	13	108	2	1295	2	KHALIFA PORT(ABU) DHABI	110
1251	13	1279	2	KHALIFA PORT(ABU) DHABI	14	96	5	1280	3	NHAVA SHEVA	101
1252	13	1280	3	NHAVA SHEVA	14	101	2	1281	4	HAZIRA(GJ)	103
1253	13	1281	4	HAZIRA(GJ)	14	103	2	1282	5	MUNDRA	105
1254	13	1282	5	MUNDRA	14	105	3	1283	6	JEBEL ALI	108
1255	13	1283	6	JEBEL ALI	14	108	3	1284	7	HAMAD	111
1256	13	1284	7	HAMAD	14	111	3	1285	8	DAMMAM	114
1257	13	1285	8	DAMMAM	14	114	1	1286	9	JEBEL ALI	115
1258	13	1286	9	JEBEL ALI	14	115	2	1303	2	KHALIFA PORT(ABU) DHABI	117
1259	13	1287	2	KHALIFA PORT(ABU) DHABI	15	103	5	1288	3	NHAVA SHEVA	108
1260	13	1288	3	NHAVA SHEVA	15	108	2	1289	4	HAZIRA(GJ)	110
1261	13	1289	4	HAZIRA(GJ)	15	110	2	1290	5	MUNDRA	112
1262	13	1290	5	MUNDRA	15	112	3	1291	6	JEBEL ALI	115
1263	13	1291	6	JEBEL ALI	15	115	3	1292	7	HAMAD	118
1264	13	1292	7	HAMAD	15	118	3	1293	8	DAMMAM	121
1265	13	1293	8	DAMMAM	15	121	1	1294	9	JEBEL ALI	122
1266	13	1294	9	JEBEL ALI	15	122	2	1311	2	KHALIFA PORT(ABU) DHABI	124
1267	13	1295	2	KHALIFA PORT(ABU) DHABI	16	110	5	1296	3	NHAVA SHEVA	115
1268	13	1296	3	NHAVA SHEVA	16	115	2	1297	4	HAZIRA(GJ)	117
1269	13	1297	4	HAZIRA(GJ)	16	117	2	1298	5	MUNDRA	119
1270	13	1298	5	MUNDRA	16	119	3	1299	6	JEBEL ALI	122
1271	13	1299	6	JEBEL ALI	16	122	3	1300	7	HAMAD	125
1272	13	1300	7	HAMAD	16	125	3	1301	8	DAMMAM	128
1273	13	1301	8	DAMMAM	16	128	1	1302	9	JEBEL ALI	129
1274	13	1302	9	JEBEL ALI	16	129	2	1319	2	KHALIFA PORT(ABU) DHABI	131
1275	13	1303	2	KHALIFA PORT(ABU) DHABI	17	117	5	1304	3	NHAVA SHEVA	122
1276	13	1304	3	NHAVA SHEVA	17	122	2	1305	4	HAZIRA(GJ)	124
1277	13	1305	4	HAZIRA(GJ)	17	124	2	1306	5	MUNDRA	126
1278	13	1306	5	MUNDRA	17	126	3	1307	6	JEBEL ALI	129
1279	13	1307	6	JEBEL ALI	17	129	3	1308	7	HAMAD	132
1280	13	1308	7	HAMAD	17	132	3	1309	8	DAMMAM	135
1281	13	1309	8	DAMMAM	17	135	1	1310	9	JEBEL ALI	136
1282	13	1310	9	JEBEL ALI	17	136	2	1327	2	KHALIFA PORT(ABU) DHABI	138
1283	13	1311	2	KHALIFA PORT(ABU) DHABI	18	124	5	1312	3	NHAVA SHEVA	129
1284	13	1312	3	NHAVA SHEVA	18	129	2	1313	4	HAZIRA(GJ)	131
1285	13	1313	4	HAZIRA(GJ)	18	131	2	1314	5	MUNDRA	133
1286	13	1314	5	MUNDRA	18	133	3	1315	6	JEBEL ALI	136
1287	13	1315	6	JEBEL ALI	18	136	3	1316	7	HAMAD	139
1288	13	1316	7	HAMAD	18	139	3	1317	8	DAMMAM	142
1289	13	1317	8	DAMMAM	18	142	1	1318	9	JEBEL ALI	143
1290	13	1318	9	JEBEL ALI	18	143	2	1335	2	KHALIFA PORT(ABU) DHABI	145
1291	13	1319	2	KHALIFA PORT(ABU) DHABI	19	131	5	1320	3	NHAVA SHEVA	136
1292	13	1320	3	NHAVA SHEVA	19	136	2	1321	4	HAZIRA(GJ)	138
1293	13	1321	4	HAZIRA(GJ)	19	138	2	1322	5	MUNDRA	140
1294	13	1322	5	MUNDRA	19	140	3	1323	6	JEBEL ALI	143
1295	13	1323	6	JEBEL ALI	19	143	3	1324	7	HAMAD	146
1296	13	1324	7	HAMAD	19	146	3	1325	8	DAMMAM	149
1297	13	1325	8	DAMMAM	19	149	1	1326	9	JEBEL ALI	150
1298	13	1326	9	JEBEL ALI	19	150	2	1343	2	KHALIFA PORT(ABU) DHABI	152
1299	13	1327	2	KHALIFA PORT(ABU) DHABI	20	138	5	1328	3	NHAVA SHEVA	143
1300	13	1328	3	NHAVA SHEVA	20	143	2	1329	4	HAZIRA(GJ)	145
1301	13	1329	4	HAZIRA(GJ)	20	145	2	1330	5	MUNDRA	147
1302	13	1330	5	MUNDRA	20	147	3	1331	6	JEBEL ALI	150
1303	13	1331	6	JEBEL ALI	20	150	3	1332	7	HAMAD	153
1304	13	1332	7	HAMAD	20	153	3	1333	8	DAMMAM	156
1305	13	1333	8	DAMMAM	20	156	1	1334	9	JEBEL ALI	157
1306	13	1334	9	JEBEL ALI	20	157	2	1351	2	KHALIFA PORT(ABU) DHABI	159
1307	13	1335	2	KHALIFA PORT(ABU) DHABI	21	145	5	1336	3	NHAVA SHEVA	150
1308	13	1336	3	NHAVA SHEVA	21	150	2	1337	4	HAZIRA(GJ)	152
1309	13	1337	4	HAZIRA(GJ)	21	152	2	1338	5	MUNDRA	154
1310	13	1338	5	MUNDRA	21	154	3	1339	6	JEBEL ALI	157
1311	13	1339	6	JEBEL ALI	21	157	3	1340	7	HAMAD	160
1312	13	1340	7	HAMAD	21	160	3	1341	8	DAMMAM	163
1313	13	1341	8	DAMMAM	21	163	1	1342	9	JEBEL ALI	164
1314	13	1343	2	KHALIFA PORT(ABU) DHABI	22	152	5	1344	3	NHAVA SHEVA	157
1315	13	1344	3	NHAVA SHEVA	22	157	2	1345	4	HAZIRA(GJ)	159
1316	13	1345	4	HAZIRA(GJ)	22	159	2	1346	5	MUNDRA	161
1317	13	1346	5	MUNDRA	22	161	3	1347	6	JEBEL ALI	164
1318	13	1347	6	JEBEL ALI	22	164	3	1348	7	HAMAD	167
1319	13	1348	7	HAMAD	22	167	3	1349	8	DAMMAM	170
1320	13	1349	8	DAMMAM	22	170	1	1350	9	JEBEL ALI	171
1321	13	1351	2	KHALIFA PORT(ABU) DHABI	23	159	5	1352	3	NHAVA SHEVA	164
1322	13	1352	3	NHAVA SHEVA	23	164	2	1353	4	HAZIRA(GJ)	166
1323	13	1353	4	HAZIRA(GJ)	23	166	2	1354	5	MUNDRA	168
1324	13	1354	5	MUNDRA	23	168	3	1355	6	JEBEL ALI	171
1325	13	1355	6	JEBEL ALI	23	171	3	1356	7	HAMAD	174
1326	13	1356	7	HAMAD	23	174	3	1357	8	DAMMAM	177
1327	13	1357	8	DAMMAM	23	177	1	1358	9	JEBEL ALI	178
1328	14	1359	1	JEBEL ALI	1	3	2	1360	2	HAMAD	5
1329	14	1360	2	HAMAD	1	5	4	1361	3	JEBEL ALI	9
1330	14	1361	3	JEBEL ALI	1	9	4	1362	4	KARACHI	13
1331	14	1362	4	KARACHI	1	13	4	1363	5	JEBEL ALI	17
1332	14	1363	5	JEBEL ALI	1	17	2	1369	2	HAMAD	19
1333	14	1364	1	JEBEL ALI	2	10	2	1365	2	HAMAD	12
1334	14	1365	2	HAMAD	2	12	4	1366	3	JEBEL ALI	16
1335	14	1366	3	JEBEL ALI	2	16	4	1367	4	KARACHI	20
1336	14	1367	4	KARACHI	2	20	4	1368	5	JEBEL ALI	24
1337	14	1368	5	JEBEL ALI	2	24	2	1373	2	HAMAD	26
1338	14	1369	2	HAMAD	3	19	4	1370	3	JEBEL ALI	23
1339	14	1370	3	JEBEL ALI	3	23	4	1371	4	KARACHI	27
1340	14	1371	4	KARACHI	3	27	4	1372	5	JEBEL ALI	31
1341	14	1372	5	JEBEL ALI	3	31	2	1377	2	HAMAD	33
1342	14	1373	2	HAMAD	4	26	4	1374	3	JEBEL ALI	30
1343	14	1374	3	JEBEL ALI	4	30	4	1375	4	KARACHI	34
1344	14	1375	4	KARACHI	4	34	4	1376	5	JEBEL ALI	38
1345	14	1376	5	JEBEL ALI	4	38	2	1381	2	HAMAD	40
1346	14	1377	2	HAMAD	5	33	4	1378	3	JEBEL ALI	37
1347	14	1378	3	JEBEL ALI	5	37	4	1379	4	KARACHI	41
1348	14	1379	4	KARACHI	5	41	4	1380	5	JEBEL ALI	45
1349	14	1380	5	JEBEL ALI	5	45	2	1385	2	HAMAD	47
1350	14	1381	2	HAMAD	6	40	4	1382	3	JEBEL ALI	44
1351	14	1382	3	JEBEL ALI	6	44	4	1383	4	KARACHI	48
1352	14	1383	4	KARACHI	6	48	4	1384	5	JEBEL ALI	52
1353	14	1384	5	JEBEL ALI	6	52	2	1389	2	HAMAD	54
1354	14	1385	2	HAMAD	7	47	4	1386	3	JEBEL ALI	51
1355	14	1386	3	JEBEL ALI	7	51	4	1387	4	KARACHI	55
1356	14	1387	4	KARACHI	7	55	4	1388	5	JEBEL ALI	59
1357	14	1388	5	JEBEL ALI	7	59	2	1393	2	HAMAD	61
1358	14	1389	2	HAMAD	8	54	4	1390	3	JEBEL ALI	58
1359	14	1390	3	JEBEL ALI	8	58	4	1391	4	KARACHI	62
1360	14	1391	4	KARACHI	8	62	4	1392	5	JEBEL ALI	66
1361	14	1392	5	JEBEL ALI	8	66	2	1397	2	HAMAD	68
1362	14	1393	2	HAMAD	9	61	4	1394	3	JEBEL ALI	65
1363	14	1394	3	JEBEL ALI	9	65	4	1395	4	KARACHI	69
1364	14	1395	4	KARACHI	9	69	4	1396	5	JEBEL ALI	73
1365	14	1396	5	JEBEL ALI	9	73	2	1401	2	HAMAD	75
1366	14	1397	2	HAMAD	10	68	4	1398	3	JEBEL ALI	72
1367	14	1398	3	JEBEL ALI	10	72	4	1399	4	KARACHI	76
1368	14	1399	4	KARACHI	10	76	4	1400	5	JEBEL ALI	80
1369	14	1400	5	JEBEL ALI	10	80	2	1405	2	HAMAD	82
1370	14	1401	2	HAMAD	11	75	4	1402	3	JEBEL ALI	79
1371	14	1402	3	JEBEL ALI	11	79	4	1403	4	KARACHI	83
1372	14	1403	4	KARACHI	11	83	4	1404	5	JEBEL ALI	87
1373	14	1404	5	JEBEL ALI	11	87	2	1409	2	HAMAD	89
1374	14	1405	2	HAMAD	12	82	4	1406	3	JEBEL ALI	86
1375	14	1406	3	JEBEL ALI	12	86	4	1407	4	KARACHI	90
1376	14	1407	4	KARACHI	12	90	4	1408	5	JEBEL ALI	94
1377	14	1408	5	JEBEL ALI	12	94	2	1413	2	HAMAD	96
1378	14	1409	2	HAMAD	13	89	4	1410	3	JEBEL ALI	93
1379	14	1410	3	JEBEL ALI	13	93	4	1411	4	KARACHI	97
1380	14	1411	4	KARACHI	13	97	4	1412	5	JEBEL ALI	101
1381	14	1412	5	JEBEL ALI	13	101	2	1417	2	HAMAD	103
1382	14	1413	2	HAMAD	14	96	4	1414	3	JEBEL ALI	100
1383	14	1414	3	JEBEL ALI	14	100	4	1415	4	KARACHI	104
1384	14	1415	4	KARACHI	14	104	4	1416	5	JEBEL ALI	108
1385	14	1416	5	JEBEL ALI	14	108	2	1421	2	HAMAD	110
1386	14	1417	2	HAMAD	15	103	4	1418	3	JEBEL ALI	107
1387	14	1418	3	JEBEL ALI	15	107	4	1419	4	KARACHI	111
1388	14	1419	4	KARACHI	15	111	4	1420	5	JEBEL ALI	115
1389	14	1420	5	JEBEL ALI	15	115	2	1425	2	HAMAD	117
1390	14	1421	2	HAMAD	16	110	4	1422	3	JEBEL ALI	114
1391	14	1422	3	JEBEL ALI	16	114	4	1423	4	KARACHI	118
1392	14	1423	4	KARACHI	16	118	4	1424	5	JEBEL ALI	122
1393	14	1424	5	JEBEL ALI	16	122	2	1429	2	HAMAD	124
